epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,9752.12,1.3204,1.21413,1.06921,0.58132,0.35788,0.40965,0.31421,1.25666,1.3281,1.03155,0.0099406,0.0099406,0.0099406
62,9911.62,1.3298,1.22659,1.07723,0.67223,0.36598,0.42995,0.32697,1.24497,1.34018,1.03357,0.00993961,0.00993961,0.00993961
63,10071.9,1.32998,1.22789,1.07867,0.64384,0.34087,0.41177,0.31756,1.25167,1.37483,1.0384,0.00993862,0.00993862,0.00993862
64,10232.1,1.31388,1.21896,1.07774,0.66407,0.32309,0.39829,0.30727,1.23722,1.35199,1.02762,0.00993763,0.00993763,0.00993763
65,10391.5,1.30829,1.2012,1.06649,0.52577,0.41712,0.41686,0.3224,1.22071,1.30724,1.01636,0.00993664,0.00993664,0.00993664
66,10551.1,1.31666,1.19898,1.07288,0.6917,0.34691,0.40295,0.31365,1.24103,1.33564,1.03274,0.00993565,0.00993565,0.00993565
67,10710.1,1.3247,1.20327,1.07077,0.58076,0.38694,0.41616,0.32123,1.23827,1.32981,1.03925,0.00993466,0.00993466,0.00993466
68,10870.1,1.31983,1.19774,1.06741,0.55752,0.37933,0.41471,0.31483,1.20774,1.30585,1.01495,0.00993367,0.00993367,0.00993367
69,11029.2,1.31421,1.19122,1.07025,0.69329,0.35089,0.42493,0.32558,1.2192,1.30934,1.02107,0.00993268,0.00993268,0.00993268
70,11189.5,1.30233,1.17265,1.06479,0.63618,0.37433,0.4047,0.31543,1.21808,1.3323,1.01324,0.00993169,0.00993169,0.00993169
71,11348.4,1.29365,1.16767,1.06508,0.56091,0.38765,0.40601,0.31542,1.21665,1.32716,1.0238,0.0099307,0.0099307,0.0099307
72,11511,1.28384,1.15933,1.06065,0.52138,0.4063,0.42573,0.32623,1.21214,1.28263,1.02768,0.00992971,0.00992971,0.00992971
73,11670.3,1.29279,1.16158,1.06259,0.59307,0.38308,0.41612,0.32144,1.21768,1.31182,1.02828,0.00992872,0.00992872,0.00992872
